date,hour,depth,value,variable
2018-07-06,0,0,30.796488333333333,temperature
2018-07-06,0,1,28.502536666666668,temperature
2018-07-06,0,2,23.622726666666665,temperature
2018-07-06,0,3,18.65389,temperature
2018-07-06,0,4,12.991556666666668,temperature
2018-07-06,0,5,11.151565,temperature
2018-07-06,0,6,11.166805,temperature
2018-07-06,0,7,11.167291666666667,temperature
2018-07-06,0,8,11.161253333333333,temperature
2018-07-06,0,9,11.160218333333333,temperature
2018-07-07,0,0,29.231316666666668,temperature
2018-07-07,0,1,29.161986666666667,temperature
2018-07-07,0,2,24.286846666666666,temperature
2018-07-07,0,3,18.218933333333332,temperature
2018-07-07,0,4,13.767386666666667,temperature
2018-07-07,0,5,11.21561,temperature
2018-07-07,0,6,11.205166666666667,temperature
2018-07-07,0,7,11.206724999999999,temperature
2018-07-07,0,8,11.190026666666666,temperature
2018-07-07,0,9,11.185900833333333,temperature
2018-07-08,0,0,28.90511,temperature
2018-07-08,0,1,27.888498333333335,temperature
2018-07-08,0,2,24.612475,temperature
2018-07-08,0,3,18.06134,temperature
2018-07-08,0,4,13.579366666666667,temperature
2018-07-08,0,5,11.25798,temperature
2018-07-08,0,6,11.229366666666667,temperature
2018-07-08,0,7,11.229308333333334,temperature
2018-07-08,0,8,11.220436666666666,temperature
2018-07-08,0,9,11.217168333333333,temperature
2018-07-09,0,0,28.873269999999998,temperature
2018-07-09,0,1,26.907313333333335,temperature
2018-07-09,0,2,25.175546666666666,temperature
2018-07-09,0,3,18.472056666666667,temperature
2018-07-09,0,4,13.407586666666667,temperature
2018-07-09,0,5,11.310381666666666,temperature
2018-07-09,0,6,11.2564,temperature
2018-07-09,0,7,11.254593333333332,temperature
2018-07-09,0,8,11.244638333333334,temperature
2018-07-09,0,9,11.240161666666665,temperature
2018-07-10,0,0,29.378,temperature
2018-07-10,0,1,26.152686666666668,temperature
2018-07-10,0,2,25.334813333333333,temperature
2018-07-10,0,3,18.60409166666667,temperature
2018-07-10,0,4,13.495356666666668,temperature
2018-07-10,0,5,11.310584166666667,temperature
2018-07-10,0,6,11.28204,temperature
2018-07-10,0,7,11.282399999999999,temperature
2018-07-10,0,8,11.271875,temperature
2018-07-10,0,9,11.2740625,temperature
2018-07-11,0,0,29.65543,temperature
2018-07-11,0,1,26.344293333333333,temperature
2018-07-11,0,2,25.51653,temperature
2018-07-11,0,3,18.819975,temperature
2018-07-11,0,4,13.553966666666666,temperature
2018-07-11,0,5,11.348534166666667,temperature
2018-07-11,0,6,11.324351666666667,temperature
2018-07-11,0,7,11.31337,temperature
2018-07-11,0,8,11.301481666666668,temperature
2018-07-11,0,9,11.300527500000001,temperature
2018-07-12,0,0,29.605595,temperature
2018-07-12,0,1,27.239788333333333,temperature
2018-07-12,0,2,24.997411666666665,temperature
2018-07-12,0,3,18.837608333333332,temperature
2018-07-12,0,4,14.066768333333332,temperature
2018-07-12,0,5,11.412145,temperature
2018-07-12,0,6,11.353521666666666,temperature
2018-07-12,0,7,11.352011666666666,temperature
2018-07-12,0,8,11.333763333333334,temperature
2018-07-12,0,9,11.3266975,temperature
2018-07-13,0,0,29.609661666666668,temperature
2018-07-13,0,1,27.880143333333333,temperature
2018-07-13,0,2,25.498916666666666,temperature
2018-07-13,0,3,19.076203333333332,temperature
2018-07-13,0,4,13.744005,temperature
2018-07-13,0,5,11.380466666666667,temperature
2018-07-13,0,6,11.365691666666667,temperature
2018-07-13,0,7,11.368091666666666,temperature
2018-07-13,0,8,11.354980000000001,temperature
2018-07-13,0,9,11.352971666666665,temperature
2018-07-14,0,0,28.73130666666667,temperature
2018-07-14,0,1,28.04085166666667,temperature
2018-07-14,0,2,26.47753,temperature
2018-07-14,0,3,18.71385666666667,temperature
2018-07-14,0,4,14.173566666666666,temperature
2018-07-14,0,5,11.471159166666666,temperature
2018-07-14,0,6,11.40682,temperature
2018-07-14,0,7,11.396408333333333,temperature
2018-07-14,0,8,11.382788333333334,temperature
2018-07-14,0,9,11.385139166666667,temperature
2018-07-15,0,0,28.847818333333333,temperature
2018-07-15,0,1,27.615579999999998,temperature
2018-07-15,0,2,26.162588333333332,temperature
2018-07-15,0,3,19.236513333333335,temperature
2018-07-15,0,4,13.985818333333333,temperature
2018-07-15,0,5,11.452234166666667,temperature
2018-07-15,0,6,11.429283333333334,temperature
2018-07-15,0,7,11.423278333333334,temperature
2018-07-15,0,8,11.410733333333333,temperature
2018-07-15,0,9,11.412570833333334,temperature
2018-07-16,0,0,29.271266666666666,temperature
2018-07-16,0,1,27.390613333333334,temperature
2018-07-16,0,2,26.123163333333334,temperature
2018-07-16,0,3,19.300515,temperature
2018-07-16,0,4,14.073623333333334,temperature
2018-07-16,0,5,11.479575833333332,temperature
2018-07-16,0,6,11.452598333333333,temperature
2018-07-16,0,7,11.448266666666667,temperature
2018-07-16,0,8,11.440288333333333,temperature
2018-07-16,0,9,11.438815,temperature
2018-07-17,0,0,28.631083333333333,temperature
2018-07-17,0,1,27.869028333333333,temperature
2018-07-17,0,2,26.77335,temperature
2018-07-17,0,3,18.741313333333334,temperature
2018-07-17,0,4,14.271656666666667,temperature
2018-07-17,0,5,11.523324166666667,temperature
2018-07-17,0,6,11.482625,temperature
2018-07-17,0,7,11.481328333333334,temperature
2018-07-17,0,8,11.46558,temperature
2018-07-17,0,9,11.46276,temperature
2018-07-18,0,0,29.579253333333334,temperature
2018-07-18,0,1,28.118401666666667,temperature
2018-07-18,0,2,25.97439,temperature
2018-07-18,0,3,19.538776666666667,temperature
2018-07-18,0,4,14.347895,temperature
2018-07-18,0,5,11.534586666666666,temperature
2018-07-18,0,6,11.509561666666666,temperature
2018-07-18,0,7,11.502005,temperature
2018-07-18,0,8,11.48767,temperature
2018-07-18,0,9,11.488158333333335,temperature
2018-07-19,0,0,29.324183333333334,temperature
2018-07-19,0,1,28.826136666666667,temperature
2018-07-19,0,2,25.784531666666666,temperature
2018-07-19,0,3,19.77039,temperature
2018-07-19,0,4,14.216481666666667,temperature
2018-07-19,0,5,11.612970833333332,temperature
2018-07-19,0,6,11.532531666666667,temperature
2018-07-19,0,7,11.527648333333333,temperature
2018-07-19,0,8,11.511519999999999,temperature
2018-07-19,0,9,11.511014166666666,temperature
2018-07-20,0,0,28.281019999999998,temperature
2018-07-20,0,1,27.623931666666667,temperature
2018-07-20,0,2,26.75759,temperature
2018-07-20,0,3,18.913516666666666,temperature
2018-07-20,0,4,14.597106666666667,temperature
2018-07-20,0,5,11.601841666666665,temperature
2018-07-20,0,6,11.564473333333334,temperature
2018-07-20,0,7,11.557196666666666,temperature
2018-07-20,0,8,11.546245,temperature
2018-07-20,0,9,11.551295833333334,temperature
2018-07-21,0,0,27.306005,temperature
2018-07-21,0,1,27.120025,temperature
2018-07-21,0,2,26.39759,temperature
2018-07-21,0,3,19.333268333333333,temperature
2018-07-21,0,4,14.602508333333333,temperature
2018-07-21,0,5,11.658299166666666,temperature
2018-07-21,0,6,11.62205,temperature
2018-07-21,0,7,11.613911666666667,temperature
2018-07-21,0,8,11.597909999999999,temperature
2018-07-21,0,9,11.598626666666668,temperature
2018-07-22,0,0,27.29855166666667,temperature
2018-07-22,0,1,26.879565,temperature
2018-07-22,0,2,26.01066,temperature
2018-07-22,0,3,19.823523333333334,temperature
2018-07-22,0,4,14.553015,temperature
2018-07-22,0,5,11.678785000000001,temperature
2018-07-22,0,6,11.667333333333334,temperature
2018-07-22,0,7,11.662618333333334,temperature
2018-07-22,0,8,11.650776666666665,temperature
2018-07-22,0,9,11.648469166666667,temperature
2018-07-23,0,0,26.13628,temperature
2018-07-23,0,1,26.132388333333335,temperature
2018-07-23,0,2,25.661706666666667,temperature
2018-07-23,0,3,19.59864333333333,temperature
2018-07-23,0,4,14.567205,temperature
2018-07-23,0,5,11.7055225,temperature
2018-07-23,0,6,11.704828333333333,temperature
2018-07-23,0,7,11.705128333333333,temperature
2018-07-23,0,8,11.695668333333334,temperature
2018-07-23,0,9,11.694645,temperature
2018-07-24,0,0,26.077538333333333,temperature
2018-07-24,0,1,25.330646666666667,temperature
2018-07-24,0,2,25.050016666666668,temperature
2018-07-24,0,3,20.015071666666667,temperature
2018-07-24,0,4,14.530116666666666,temperature
2018-07-24,0,5,11.74651,temperature
2018-07-24,0,6,11.742803333333335,temperature
2018-07-24,0,7,11.740665,temperature
2018-07-24,0,8,11.731456666666666,temperature
2018-07-24,0,9,11.7358775,temperature
2018-07-25,0,0,25.90801,temperature
2018-07-25,0,1,25.386078333333334,temperature
2018-07-25,0,2,25.016869999999997,temperature
2018-07-25,0,3,19.644398333333335,temperature
2018-07-25,0,4,14.664021666666667,temperature
2018-07-25,0,5,11.798151666666667,temperature
2018-07-25,0,6,11.787985,temperature
2018-07-25,0,7,11.785499999999999,temperature
2018-07-25,0,8,11.772781666666667,temperature
2018-07-25,0,9,11.773825,temperature
2018-07-26,0,0,25.592431666666666,temperature
2018-07-26,0,1,25.58172666666667,temperature
2018-07-26,0,2,24.533095,temperature
2018-07-26,0,3,19.778675,temperature
